tv_id,subscription_type,total_gaps,ad_like_gaps,long_gaps,ad_gap_proportion,most_common_ranges
972b1c1ae82179345853a05b3680ea66ee157851,ad_free,47,2,45,0.043,"135-150, 120-135, 285-300"
97fb075dfbaac67587a422829253c9a3d1279af7,ad_free,22,4,18,0.182,"15-30, 30-45, 75-90"
985738b8332775146f6b61bdf13e8ab71820e102,ad_free,6,0,6,0.0,"330-345, 60-75, 135-150"
98780aa1133cefa99072afc2a951c0766a13bdf1,ad_free,13,1,12,0.077,"840-855, 15-30, 165-180"
99283a94cf8ce0bdbdaf72053b633f2f18a4a617,ad_free,11,2,9,0.182,"30-45, 270-285, 75-90"
9c8402778a795e3f237ad8999257bdd94f83e0b6,ad_free,2,1,1,0.5,"45-60, 1230-1245"
9e95d60cbb9c34d03ea8a43f4c2318f8bcd4db00,mixed_or_uncertain,20,6,14,0.3,"15-30, 60-75, 120-135"
a0cde1a66a9dad5a0cc38dbf4497a6d73b6a3288,ad_free,71,4,67,0.056,"120-135, 135-150, 180-195"
a1af7adc544f05e8041796fbb21085407208db2e,ad_supported,3,3,0,1.0,"0-15, 45-60"
a35432cb9f2b91710b3319c5ef682f81e15919d1,ad_free,1,0,1,0.0,5525895-5525910
aacdd93691a7fd1eda3944820b8dc696bbd5ae7b,ad_free,54,2,52,0.037,"120-135, 180-195, 165-180"
adfb664d28e606f09ec0499f89238d23dd71b040,mixed_or_uncertain,6,3,3,0.5,"0-15, 15-30, 60-75"
b0e8f50953f5e0f2bfebd4ec399afca2466c286c,ad_free,5,0,5,0.0,"675-690, 405-420, 71595-71610"
bc79209401c71be588122e2525fceb9c6fd6f953,ad_free,72,6,66,0.083,"15-30, 120-135, 0-15"
bd49ca1bf5dc4e9c6056efd434e17bbd98f02cc6,ad_free,1,0,1,0.0,210-225
bfafe4531900994906fc9e2a02ce3563176d51eb,ad_free,263,28,235,0.106,"120-135, 150-165, 135-150"
c55c91850e1f3aaa8c1731f17dc923807cfd7b10,ad_free,71,8,63,0.113,"0-15, 180-195, 15-30"
c7c8060441d41757874a48d1d4b2eb55caf2afcd,ad_free,16,2,14,0.125,"75-90, 15-30, 120-135"
c8db53f7f4eeddbd83cf15380e0cc184cee0aa2d,ad_free,252,26,226,0.103,"120-135, 135-150, 150-165"
caf65888bce0902204afc268aea1ebc618514bd3,ad_free,23,0,23,0.0,"135-150, 150-165, 255-270"
cbc97c694970c3203dcf0ac4bbafb1e1f8c7e2b3,ad_free,31,5,26,0.161,"150-165, 135-150, 45-60"
ced55d86508eb8b890df8b26f831c8ecd5fc9f77,ad_free,106,27,79,0.255,"15-30, 30-45, 0-15"
cf8d122ae70613e11a48aae483332680e74eb3d4,ad_free,12,0,12,0.0,"120-135, 60-75, 135-150"
cfbe26e9568952b313c937d44edeed90e6e9491d,ad_free,1,0,1,0.0,611820-611835
d184dc89734a61401963c9996f0dc95ead7ace6c,ad_free,4,0,4,0.0,"585-600, 825-840, 855-870"
d26ce959f3ca1a52591a30d83958c84bb8290764,ad_free,32,1,31,0.031,"120-135, 135-150, 165-180"
d74abd93dcb6dabcbb2c623307719f0026f925d5,mixed_or_uncertain,22,8,14,0.364,"135-150, 15-30, 0-15"
d90e6a1967cb9d9b0e6bfaa437df4cee0a688c88,ad_free,6,1,5,0.167,"30-45, 195-210, 300-315"
db4ae62a073845ab4dfe3e0a4740c1203cb51ee6,ad_free,3,0,3,0.0,"150-165, 255-270, 285-300"
dd1227fe3d7bede0c0d54e36f2db43705cc7acc8,ad_free,37,4,33,0.108,"120-135, 135-150, 45-60"
df489bcff8e9003563d23d0765d995e690b8615a,ad_free,92,13,79,0.141,"120-135, 0-15, 135-150"
e00100462a41fb20d7c3caa4a4427f9be63ba8ba,ad_free,3,0,3,0.0,"135-150, 585-600, 645-660"
e535b4f1d0acad22915e79050ffe1de5946321f1,ad_free,1,0,1,0.0,32670-32685
ecb0c8489d992bdd313f1fb5a96d6e9f62839025,ad_free,49,4,45,0.082,"120-135, 165-180, 210-225"
edbb021d0e2ec4079fd1e7788484f03dbbd53521,ad_free,9,1,8,0.111,"135-150, 30-45, 165-180"
ee7fffccdc2ece3fbec5d4ba1bf95ad14f4fdd90,ad_free,95,16,79,0.168,"0-15, 15-30, 45-60"
eef4136f3f5b37938766f533322c2d2332e27180,ad_free,1,0,1,0.0,840-855
f28879645fa9b8f373ae2ab603de127363ceb46f,ad_free,49,9,40,0.184,"120-135, 150-165, 0-15"
f499c21613492349e4e723ec9895f77ddbe24a47,ad_free,36,2,34,0.056,"135-150, 120-135, 165-180"
f4c8e65ffebe5cdd846140b6918633d0d684322f,ad_free,9,0,9,0.0,"135-150, 165-180, 195-210"
f669911e3bf8e05083a36ccf4fddcda37f86b1ca,ad_free,1,0,1,0.0,135-150
f66f232553a4b9d0f4bf0ad17bd70b5c309fc02c,ad_free,14,1,13,0.071,"180-195, 0-15, 120-135"
f832e5789153abda0dee910b2f97ac2183bd759b,ad_free,19,0,19,0.0,"90-105, 120-135, 150-165"
f8a04195dc11dcefcbfc1e904be32cbac877c22c,ad_free,120,4,116,0.033,"90-105, 135-150, 120-135"
f8b354f2ecef4c3445bcc228d8089e69c38f63fe,ad_free,9,0,9,0.0,"90-105, 120-135, 75-90"
fafd0b6efa3aa58d2af868190c3250046a9ea4d3,ad_free,11,1,10,0.091,"120-135, 255-270, 15-30"
fe8755a591c5287e240bc67344f7b93aeb2c3d0b,ad_free,5,1,4,0.2,"0-15, 90-105, 150-165"
